number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_features,params_learning_rate,params_lstm_hidden,params_num_blocks,params_reduction_ratio,params_use_attention,state
0,0.6118744658353368,2025-12-07 18:18:08.205847,2025-12-07 18:18:34.883190,0 days 00:00:26.677343,128,0.6464704583099741,64,0.0020513382630874496,64,3,2,True,COMPLETE
1,0.5553329745679256,2025-12-07 18:18:34.884636,2025-12-07 18:19:10.744859,0 days 00:00:35.860223,64,0.41649165607921673,128,0.0040596116104843075,64,2,2,False,COMPLETE
2,0.5877856522523752,2025-12-07 18:19:10.746613,2025-12-07 18:19:32.784790,0 days 00:00:22.038177,128,0.3682096494749166,128,0.015304852121831466,128,3,1,False,COMPLETE
3,0.5839638914439971,2025-12-07 18:19:32.786135,2025-12-07 18:20:13.738366,0 days 00:00:40.952231,64,0.6637281608315128,64,0.0017541893487450805,64,2,1,True,COMPLETE
4,0.42273681772682803,2025-12-07 18:20:13.739805,2025-12-07 18:20:48.492453,0 days 00:00:34.752648,64,0.6687496940092467,64,0.0756829206016762,64,1,1,True,COMPLETE
5,0.598157876464071,2025-12-07 18:20:48.493928,2025-12-07 18:21:27.438456,0 days 00:00:38.944528,64,0.6208787923016159,64,0.0036464395589807202,64,1,1,True,COMPLETE
6,0.6010864086304385,2025-12-07 18:21:27.440341,2025-12-07 18:21:49.331503,0 days 00:00:21.891162,128,0.34634762381005185,128,0.034877126245459314,128,1,2,True,COMPLETE
7,0.6084880336612934,2025-12-07 18:21:49.332793,2025-12-07 18:22:10.528838,0 days 00:00:21.196045,128,0.5852979148891979,64,0.059487468132197734,64,2,2,False,COMPLETE
8,0.5875419462357209,2025-12-07 18:22:10.530166,2025-12-07 18:22:45.265686,0 days 00:00:34.735520,64,0.5034282764658811,128,0.001155735281626987,64,3,2,False,COMPLETE
9,0.513691107305005,2025-12-07 18:22:45.266990,2025-12-07 18:23:08.709982,0 days 00:00:23.442992,64,0.6485842360750871,64,0.0723427984566542,64,2,2,False,PRUNED
